licence_ref,licence_ref_n,year,issn,all_published,publisher,journal
http://creativecommons.org/licenses/by/3.0/,2,2013,0168-9525,109,Elsevier BV,Trends in Genetics
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0168-9525,109,Elsevier BV,Trends in Genetics
http://www.elsevier.com/tdm/userlicense/1.0/,121,2013,0169-1317,318,Elsevier BV,Applied Clay Science
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0169-1317,318,Elsevier BV,Applied Clay Science
http://creativecommons.org/licenses/by/3.0/,1,2013,0169-1317,318,Elsevier BV,Applied Clay Science
http://www.elsevier.com/tdm/userlicense/1.0/,76,2013,0169-1368,90,Elsevier BV,Ore Geology Reviews
http://www.elsevier.com/tdm/userlicense/1.0/,62,2013,0169-2070,70,Elsevier BV,International Journal of Forecasting
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0169-2070,70,Elsevier BV,International Journal of Forecasting
http://www.elsevier.com/tdm/userlicense/1.0/,235,2013,0169-2607,235,Elsevier BV,Computer Methods and Programs in Biomedicine
http://www.elsevier.com/open-access/userlicense/1.0/,5,2013,0169-2607,235,Elsevier BV,Computer Methods and Programs in Biomedicine
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0169-2607,235,Elsevier BV,Computer Methods and Programs in Biomedicine
http://creativecommons.org/licenses/by/3.0/,2,2013,0169-2607,235,Elsevier BV,Computer Methods and Programs in Biomedicine
NA,NA,2013,0169-3298,55,Springer Nature,Surveys in Geophysics
NA,NA,2013,0169-3816,32,Springer Nature,Journal of Cross-Cultural Gerontology
NA,NA,2013,0169-3867,51,Springer Nature,Biology & Philosophy
NA,NA,2013,0169-3913,158,Springer Nature,Transport in Porous Media
http://www.elsevier.com/tdm/userlicense/1.0/,69,2013,0169-409X,178,Elsevier BV,Advanced Drug Delivery Reviews
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0169-409X,178,Elsevier BV,Advanced Drug Delivery Reviews
NA,NA,2013,0169-4286,43,Springer Nature,New Forests
http://www.elsevier.com/tdm/userlicense/1.0/,1785,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://www.elsevier.com/open-access/userlicense/1.0/,19,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://creativecommons.org/licenses/by-nc-nd/3.0/,11,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://creativecommons.org/licenses/by/3.0/,6,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://creativecommons.org/licenses/by-nc-sa/3.0/,3,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://creativecommons.org/licenses/by/4.0/,1,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0169-4332,2185,Elsevier BV,Applied Surface Science
http://www.elsevier.com/tdm/userlicense/1.0/,637,2013,0169-5002,659,Elsevier BV,Lung Cancer
http://creativecommons.org/licenses/by-nc-sa/3.0/,3,2013,0169-5002,659,Elsevier BV,Lung Cancer
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0169-5002,659,Elsevier BV,Lung Cancer
http://creativecommons.org/licenses/by/3.0/,1,2013,0169-5002,659,Elsevier BV,Lung Cancer
http://www.elsevier.com/tdm/userlicense/1.0/,106,2013,0169-5347,172,Elsevier BV,Trends in Ecology & Evolution
http://creativecommons.org/licenses/by-nc-nd/4.0/,2,2013,0169-5347,172,Elsevier BV,Trends in Ecology & Evolution
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0169-5347,172,Elsevier BV,Trends in Ecology & Evolution
http://www.elsevier.com/tdm/userlicense/1.0/,201,2013,0169-555X,365,Elsevier BV,Geomorphology
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0169-555X,365,Elsevier BV,Geomorphology
http://creativecommons.org/licenses/by/3.0/,1,2013,0169-555X,365,Elsevier BV,Geomorphology
NA,NA,2013,0169-6149,31,Springer Nature,Origins of Life and Evolution of Biospheres
http://www.elsevier.com/tdm/userlicense/1.0/,40,2013,0169-7439,150,Elsevier BV,Chemometrics and Intelligent Laboratory Systems
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0169-7439,150,Elsevier BV,Chemometrics and Intelligent Laboratory Systems
http://www.elsevier.com/tdm/userlicense/1.0/,58,2013,0169-7722,132,Elsevier BV,Journal of Contaminant Hydrology
http://creativecommons.org/licenses/by/3.0/,1,2013,0169-7722,132,Elsevier BV,Journal of Contaminant Hydrology
http://www.elsevier.com/tdm/userlicense/1.0/,158,2013,0169-8095,262,Elsevier BV,Atmospheric Research
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0169-8095,262,Elsevier BV,Atmospheric Research
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0169-8095,262,Elsevier BV,Atmospheric Research
http://doi.wiley.com/10.1002/tdm_license_1.1,340,2013,0170-4214,340,Wiley-Blackwell,Mathematical Methods in the Applied Sciences
NA,NA,2013,0170-8406,117,SAGE Publications,Organization Studies
http://www.elsevier.com/tdm/userlicense/1.0/,189,2013,0171-2985,206,Elsevier BV,Immunobiology
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0171-2985,206,Elsevier BV,Immunobiology
http://creativecommons.org/licenses/by/3.0/,1,2013,0171-2985,206,Elsevier BV,Immunobiology
NA,NA,2013,0171-5216,203,Springer Nature,Journal of Cancer Research and Clinical Oncology
NA,NA,2013,0171-6468,44,Springer Nature,OR Spectrum
NA,NA,2013,0171-8630,514,Inter-Research Science Center,Marine Ecology Progress Series
http://www.elsevier.com/tdm/userlicense/1.0/,34,2013,0171-9335,49,Elsevier BV,European Journal of Cell Biology
http://creativecommons.org/licenses/by/3.0/,1,2013,0171-9335,49,Elsevier BV,European Journal of Cell Biology
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0171-9335,49,Elsevier BV,European Journal of Cell Biology
NA,NA,2013,0171-967X,144,Springer Nature,Calcified Tissue International
NA,NA,2013,0172-0643,244,Springer Nature,Pediatric Cardiology
NA,NA,2013,0172-8083,33,Springer Nature,Current Genetics
NA,NA,2013,0172-8113,134,Springer Nature,Der Pathologe
http://www.springer.com/tdm,3,2013,0172-8172,297,Springer Nature,Rheumatology International
NA,NA,2013,0172-9179,36,Springer Nature,Facies
http://doi.wiley.com/10.1002/tdm_license_1.1,576,2013,0173-0835,576,Wiley-Blackwell,ELECTROPHORESIS
NA,NA,2013,0173-5322,12,Springer Nature,Journal für Mathematik-Didaktik
NA,NA,2013,0173-5373,55,Brill Academic Publishers,Amphibia-Reptilia
http://doi.wiley.com/10.1002/tdm_license_1.1,97,2013,0173-9565,97,Wiley-Blackwell,Marine Ecology
NA,NA,2013,0174-1551,278,Springer Nature,CardioVascular and Interventional Radiology
NA,NA,2013,0174-1578,59,Springer Nature,Journal of Comparative Physiology B
NA,NA,2013,0174-2442,70,Springer Nature,coloproctology
NA,NA,2013,0175-7571,59,Springer Nature,European Biophysics Journal
NA,NA,2013,0175-7598,807,Springer Nature,Applied Microbiology and Biotechnology
http://www.elsevier.com/tdm/userlicense/1.0/,179,2013,0176-1617,205,Elsevier BV,Journal of Plant Physiology
NA,NA,2013,0176-1714,70,Springer Nature,Social Choice and Welfare
NA,NA,2013,0176-4225,29,John Benjamins Publishing Company,Diachronica
NA,NA,2013,0176-4268,24,Springer Nature,Journal of Classification
NA,NA,2013,0176-4276,46,Springer Nature,Constructive Approximation
NA,NA,2013,0177-0667,38,Springer Nature,Engineering with Computers
NA,NA,2013,0177-5103,129,Inter-Research Science Center,Diseases of Aquatic Organisms
NA,NA,2013,0177-5537,167,Springer Nature,Der Unfallchirurg
NA,NA,2013,0177-7963,257,Springer Nature,Few-Body Systems
NA,NA,2013,0177-798X,244,Springer Nature,Theoretical and Applied Climatology
NA,NA,2013,0178-2762,125,Springer Nature,Biology and Fertility of Soils
NA,NA,2013,0178-2770,21,Springer Nature,Distributed Computing
NA,NA,2013,0178-2789,137,Springer Nature,The Visual Computer
NA,NA,2013,0178-4617,125,Springer Nature,Algorithmica
NA,NA,2013,0178-7675,135,Springer Nature,Computational Mechanics
NA,NA,2013,0178-8051,72,Springer Nature,Probability Theory and Related Fields
NA,NA,2013,0179-0358,219,Springer Nature,Pediatric Surgery International
NA,NA,2013,0179-051X,60,Springer Nature,Dysphagia
http://doi.wiley.com/10.1002/tdm_license_1.1,137,2013,0179-1613,137,Wiley-Blackwell,Ethology
NA,NA,2013,0179-1958,190,Springer Nature,International Journal of Colorectal Disease
NA,NA,2013,0179-5376,84,Springer Nature,Discrete & Computational Geometry
NA,NA,2013,0179-7158,207,Springer Nature,Strahlentherapie und Onkologie
http://www.elsevier.com/tdm/userlicense/1.0/,122,2013,0188-4409,122,Elsevier BV,Archives of Medical Research
http://creativecommons.org/licenses/by-nc-nd/4.0/,2,2013,0188-4409,122,Elsevier BV,Archives of Medical Research
NA,NA,2013,0188-7009,60,Springer Nature,Advances in Applied Clifford Algebras
http://www.elsevier.com/tdm/userlicense/1.0/,191,2013,0190-7409,274,Elsevier BV,Children and Youth Services Review
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0190-7409,274,Elsevier BV,Children and Youth Services Review
http://creativecommons.org/licenses/by/3.0/,1,2013,0190-7409,274,Elsevier BV,Children and Youth Services Review
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0190-7409,274,Elsevier BV,Children and Youth Services Review
NA,NA,2013,0190-9320,46,Springer Nature,Political Behavior
NA,NA,2013,0191-5886,28,Springer Nature,Journal of Nonverbal Behavior
http://www.elsevier.com/tdm/userlicense/1.0/,134,2013,0191-8141,153,Elsevier BV,Journal of Structural Geology
http://creativecommons.org/licenses/by-nc-nd/4.0/,7,2013,0191-8141,153,Elsevier BV,Journal of Structural Geology
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0191-8141,153,Elsevier BV,Journal of Structural Geology
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0191-8141,153,Elsevier BV,Journal of Structural Geology
http://www.elsevier.com/tdm/userlicense/1.0/,400,2013,0191-8869,400,Elsevier BV,Personality and Individual Differences
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0191-8869,400,Elsevier BV,Personality and Individual Differences
NA,NA,2013,0192-4036,40,Informa UK Limited,International Journal of Comparative and Applied Criminal Justice
NA,NA,2013,0192-513X,133,SAGE Publications,Journal of Family Issues
http://doi.wiley.com/10.1002/tdm_license_1.1,289,2013,0192-8651,309,Wiley-Blackwell,Journal of Computational Chemistry
http://doi.wiley.com/10.1002/tdm_license_1,20,2013,0192-8651,309,Wiley-Blackwell,Journal of Computational Chemistry
http://onlinelibrary.wiley.com/termsAndConditions,19,2013,0192-8651,309,Wiley-Blackwell,Journal of Computational Chemistry
http://creativecommons.org/licenses/by/3.0/,1,2013,0192-8651,309,Wiley-Blackwell,Journal of Computational Chemistry
NA,NA,2013,0193-1849,294,American Physiological Society,AJP: Endocrinology and Metabolism
NA,NA,2013,0194-911X,523,Ovid Technologies (Wolters Kluwer Health),Hypertension
NA,NA,2013,0195-3613,14,Springer Nature,Journal of Labor Research
http://www.elsevier.com/tdm/userlicense/1.0/,301,2013,0195-6663,414,Elsevier BV,Appetite
http://creativecommons.org/licenses/by/3.0/,5,2013,0195-6663,414,Elsevier BV,Appetite
http://creativecommons.org/licenses/by-nc-nd/3.0/,4,2013,0195-6663,414,Elsevier BV,Appetite
http://www.elsevier.com/tdm/userlicense/1.0/,105,2013,0195-6671,147,Elsevier BV,Cretaceous Research
http://creativecommons.org/licenses/by/3.0/,1,2013,0195-6671,147,Elsevier BV,Cretaceous Research
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0195-6671,147,Elsevier BV,Cretaceous Research
NA,NA,2013,0195-668X,4753,Oxford University Press (OUP),European Heart Journal
http://www.elsevier.com/tdm/userlicense/1.0/,118,2013,0195-6698,131,Elsevier BV,European Journal of Combinatorics
http://www.elsevier.com/open-access/userlicense/1.0/,88,2013,0195-6698,131,Elsevier BV,European Journal of Combinatorics
http://creativecommons.org/licenses/by/4.0/,1,2013,0195-6698,131,Elsevier BV,European Journal of Combinatorics
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0195-6698,131,Elsevier BV,European Journal of Combinatorics
http://www.elsevier.com/tdm/userlicense/1.0/,246,2013,0195-6701,246,Elsevier BV,Journal of Hospital Infection
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0195-6701,246,Elsevier BV,Journal of Hospital Infection
http://creativecommons.org/licenses/by/3.0/,1,2013,0195-6701,246,Elsevier BV,Journal of Hospital Infection
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0195-6701,246,Elsevier BV,Journal of Hospital Infection
NA,NA,2013,0195-9131,342,Ovid Technologies (Wolters Kluwer Health),Medicine & Science in Sports & Exercise
NA,NA,2013,0195-928X,175,Springer Nature,International Journal of Thermophysics
NA,NA,2013,0195-9298,50,Springer Nature,Journal of Nondestructive Evaluation
http://www.elsevier.com/tdm/userlicense/1.0/,994,2013,0196-0644,994,Elsevier BV,Annals of Emergency Medicine
http://creativecommons.org/licenses/by-nc-nd/4.0/,2,2013,0196-0644,994,Elsevier BV,Annals of Emergency Medicine
NA,NA,2013,0196-206X,112,Ovid Technologies (Wolters Kluwer Health),Journal of Developmental & Behavioral Pediatrics
http://www.ieee.org/publications_standards/publications/subscriptions/info/licensing.html,3,2013,0196-2892,561,Institute of Electrical and Electronics Engineers (IEEE),IEEE Transactions on Geoscience and Remote Sensing
http://doi.wiley.com/10.1002/tdm_license_1.1,111,2013,0196-8092,111,Wiley-Blackwell,Lasers in Surgery and Medicine
http://www.elsevier.com/tdm/userlicense/1.0/,85,2013,0196-8858,85,Elsevier BV,Advances in Applied Mathematics
http://www.elsevier.com/open-access/userlicense/1.0/,75,2013,0196-8858,85,Elsevier BV,Advances in Applied Mathematics
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0196-8858,85,Elsevier BV,Advances in Applied Mathematics
http://www.elsevier.com/tdm/userlicense/1.0/,234,2013,0196-9781,293,Elsevier BV,Peptides
http://www.elsevier.com/open-access/userlicense/1.0/,10,2013,0196-9781,293,Elsevier BV,Peptides
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0196-9781,293,Elsevier BV,Peptides
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0196-9781,293,Elsevier BV,Peptides
http://www.elsevier.com/tdm/userlicense/1.0/,173,2013,0197-0186,231,Elsevier BV,Neurochemistry International
http://www.elsevier.com/open-access/userlicense/1.0/,3,2013,0197-0186,231,Elsevier BV,Neurochemistry International
http://creativecommons.org/licenses/by/3.0/,2,2013,0197-0186,231,Elsevier BV,Neurochemistry International
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0197-0186,231,Elsevier BV,Neurochemistry International
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0197-0186,231,Elsevier BV,Neurochemistry International
http://doi.wiley.com/10.1002/tdm_license_1.1,256,2013,0197-3851,256,Wiley-Blackwell,Prenatal Diagnosis
http://www.elsevier.com/tdm/userlicense/1.0/,84,2013,0197-3975,119,Elsevier BV,Habitat International
http://creativecommons.org/licenses/by/3.0/,1,2013,0197-3975,119,Elsevier BV,Habitat International
NA,NA,2013,0197-4254,36,Springer Nature,Atlantic Economic Journal
http://www.elsevier.com/tdm/userlicense/1.0/,395,2013,0197-4580,395,Elsevier BV,Neurobiology of Aging
http://creativecommons.org/licenses/by/3.0/,13,2013,0197-4580,395,Elsevier BV,Neurobiology of Aging
http://www.elsevier.com/open-access/userlicense/1.0/,9,2013,0197-4580,395,Elsevier BV,Neurobiology of Aging
http://creativecommons.org/licenses/by-nc-nd/3.0/,4,2013,0197-4580,395,Elsevier BV,Neurobiology of Aging
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0197-4580,395,Elsevier BV,Neurobiology of Aging
http://www.springer.com/tdm,53,2013,0197-5897,53,Springer Nature,Journal of Public Health Policy
http://doi.wiley.com/10.1002/tdm_license_1.1,150,2013,0197-9337,150,Wiley-Blackwell,Earth Surface Processes and Landforms
http://doi.wiley.com/10.1002/tdm_license_1.1,29,2013,0198-6325,29,Wiley-Blackwell,Medicinal Research Reviews
http://www.elsevier.com/tdm/userlicense/1.0/,66,2013,0198-9715,76,Elsevier BV,"Computers, Environment and Urban Systems"
http://creativecommons.org/licenses/by/3.0/,1,2013,0198-9715,76,Elsevier BV,"Computers, Environment and Urban Systems"
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0198-9715,76,Elsevier BV,"Computers, Environment and Urban Systems"
NA,NA,2013,0199-0039,15,Springer Nature,Population and Environment
NA,NA,2013,0214-6282,101,UPV/EHU Press,The International Journal of Developmental Biology
NA,NA,2013,0217-4561,34,Springer Nature,Asia Pacific Journal of Management
NA,NA,2013,0217-751X,254,World Scientific Pub Co Pte Lt,International Journal of Modern Physics A
NA,NA,2013,0218-0006,41,Springer Nature,Annals of Combinatorics
NA,NA,2013,0218-1266,147,World Scientific Pub Co Pte Lt,"Journal of Circuits, Systems and Computers"
NA,NA,2013,0218-1959,25,World Scientific Pub Co Pte Lt,International Journal of Computational Geometry & Applications
NA,NA,2013,0218-2025,78,World Scientific Pub Co Pte Lt,Mathematical Models and Methods in Applied Sciences
NA,NA,2013,0219-1377,125,Springer Nature,Knowledge and Information Systems
NA,NA,2013,0219-5194,97,World Scientific Pub Co Pte Lt,Journal of Mechanics in Medicine and Biology
NA,NA,2013,0219-7499,75,World Scientific Pub Co Pte Lt,International Journal of Quantum Information
http://www.elsevier.com/tdm/userlicense/1.0/,488,2013,0223-5234,734,Elsevier BV,European Journal of Medicinal Chemistry
http://creativecommons.org/licenses/by/3.0/,2,2013,0223-5234,734,Elsevier BV,European Journal of Medicinal Chemistry
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0223-5234,734,Elsevier BV,European Journal of Medicinal Chemistry
NA,NA,2013,0232-704X,44,Springer Nature,Annals of Global Analysis and Geometry
NA,NA,2013,0233-1888,158,Informa UK Limited,Statistics
NA,NA,2013,0236-5731,507,Springer Nature,Journal of Radioanalytical and Nuclear Chemistry
http://doi.wiley.com/10.1002/tdm_license_1.1,60,2013,0248-4900,60,Wiley-Blackwell,Biology of the Cell
http://onlinelibrary.wiley.com/termsAndConditions,5,2013,0248-4900,60,Wiley-Blackwell,Biology of the Cell
NA,NA,2013,0250-541X,91,Springer Nature,National Academy Science Letters
NA,NA,2013,0250-6807,146,S. Karger AG,Annals of Nutrition and Metabolism
NA,NA,2013,0251-3625,59,Informa UK Limited,disP - The Planning Review
http://www.elsevier.com/tdm/userlicense/1.0/,419,2013,0254-0584,758,Elsevier BV,Materials Chemistry and Physics
http://www.springer.com/tdm,37,2013,0254-5330,232,Springer Nature,Annals of Operations Research
NA,NA,2013,0256-1530,137,Springer Nature,Advances in Atmospheric Sciences
NA,NA,2013,0256-2928,39,Springer Nature,European Journal of Psychology of Education
http://www.springer.com/tdm,20,2013,0256-7040,339,Springer Nature,Child's Nervous System
NA,NA,2013,0257-0130,45,Springer Nature,Queueing Systems
NA,NA,2013,0257-277X,97,Springer Nature,Immunologic Research
http://www.elsevier.com/tdm/userlicense/1.0/,929,2013,0257-8972,1215,Elsevier BV,Surface and Coatings Technology
http://creativecommons.org/licenses/by-nc-nd/3.0/,16,2013,0257-8972,1215,Elsevier BV,Surface and Coatings Technology
http://www.elsevier.com/open-access/userlicense/1.0/,7,2013,0257-8972,1215,Elsevier BV,Surface and Coatings Technology
http://creativecommons.org/licenses/by/3.0/,6,2013,0257-8972,1215,Elsevier BV,Surface and Coatings Technology
http://creativecommons.org/licenses/by-nc-sa/3.0/,3,2013,0257-8972,1215,Elsevier BV,Surface and Coatings Technology
NA,NA,2013,0258-0136,32,Informa UK Limited,South African Journal of Philosophy
NA,NA,2013,0258-8900,113,Springer Nature,Bulletin of Volcanology
NA,NA,2013,0258-9001,44,Informa UK Limited,Journal of Contemporary African Studies
NA,NA,2013,0259-9791,172,Springer Nature,Journal of Mathematical Chemistry
NA,NA,2013,0260-1230,46,Oxford University Press (OUP),Journal of Molluscan Studies
NA,NA,2013,0260-3055,105,Cambridge University Press (CUP),Annals of Glaciology
http://doi.wiley.com/10.1002/tdm_license_1.1,127,2013,0260-437X,127,Wiley-Blackwell,Journal of Applied Toxicology
http://www.elsevier.com/tdm/userlicense/1.0/,438,2013,0260-8774,478,Elsevier BV,Journal of Food Engineering
http://www.elsevier.com/open-access/userlicense/1.0/,15,2013,0260-8774,478,Elsevier BV,Journal of Food Engineering
http://creativecommons.org/licenses/by/3.0/,2,2013,0260-8774,478,Elsevier BV,Journal of Food Engineering
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0260-8774,478,Elsevier BV,Journal of Food Engineering
NA,NA,2013,0261-0183,55,SAGE Publications,Critical Social Policy
http://www.elsevier.com/tdm/userlicense/1.0/,179,2013,0261-2194,272,Elsevier BV,Crop Protection
http://creativecommons.org/licenses/by/3.0/,1,2013,0261-2194,272,Elsevier BV,Crop Protection
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0261-2194,272,Elsevier BV,Crop Protection
http://www.elsevier.com/tdm/userlicense/1.0/,9,2013,0261-3794,105,Elsevier BV,Electoral Studies
http://doi.wiley.com/10.1002/tdm_license_1.1,33,2013,0261-3875,39,Wiley-Blackwell,Legal Studies
http://onlinelibrary.wiley.com/termsAndConditions,6,2013,0261-3875,39,Wiley-Blackwell,Legal Studies
http://doi.wiley.com/10.1002/tdm_license_1,6,2013,0261-3875,39,Wiley-Blackwell,Legal Studies
http://doi.wiley.com/10.1002/tdm_license_1.1,283,2013,0261-4189,283,Wiley-Blackwell,The EMBO Journal
NA,NA,2013,0261-4367,62,Informa UK Limited,Leisure Studies
http://www.elsevier.com/tdm/userlicense/1.0/,186,2013,0261-5177,193,Elsevier BV,Tourism Management
http://www.elsevier.com/tdm/userlicense/1.0/,760,2013,0261-5614,827,Elsevier BV,Clinical Nutrition
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0261-5614,827,Elsevier BV,Clinical Nutrition
NA,NA,2013,0262-0898,71,Springer Nature,Clinical & Experimental Metastasis
http://doi.wiley.com/10.1002/tdm_license_1.1,18,2013,0262-5245,18,Wiley-Blackwell,Music Analysis
NA,NA,2013,0263-0338,21,Springer Nature,African Archaeological Review
NA,NA,2013,0263-2136,89,Oxford University Press (OUP),Family Practice
http://www.elsevier.com/tdm/userlicense/1.0/,333,2013,0263-2241,497,Elsevier BV,Measurement
http://creativecommons.org/licenses/by/3.0/,2,2013,0263-2241,497,Elsevier BV,Measurement
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0263-2241,497,Elsevier BV,Measurement
NA,NA,2013,0263-2764,80,SAGE Publications,"Theory, Culture & Society"
NA,NA,2013,0263-5143,20,Informa UK Limited,Research in Science & Technological Education
NA,NA,2013,0263-6352,395,Ovid Technologies (Wolters Kluwer Health),Journal of Hypertension
http://doi.wiley.com/10.1002/tdm_license_1.1,85,2013,0263-6484,85,Wiley-Blackwell,Cell Biochemistry and Function
NA,NA,2013,0263-774X,85,SAGE Publications,Environment and Planning C: Government and Policy
NA,NA,2013,0263-7758,71,SAGE Publications,Environment and Planning D: Society and Space
http://www.elsevier.com/tdm/userlicense/1.0/,83,2013,0263-7863,113,Elsevier BV,International Journal of Project Management
http://www.elsevier.com/tdm/userlicense/1.0/,461,2013,0263-8223,584,Elsevier BV,Composite Structures
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0263-8223,584,Elsevier BV,Composite Structures
NA,NA,2013,0263-841X,112,BMJ,In Practice
http://www.elsevier.com/tdm/userlicense/1.0/,287,2013,0263-8762,287,Elsevier BV,Chemical Engineering Research and Design
http://creativecommons.org/licenses/by/3.0/,1,2013,0263-8762,287,Elsevier BV,Chemical Engineering Research and Design
NA,NA,2013,0264-0414,278,Informa UK Limited,Journal of Sports Sciences
NA,NA,2013,0264-1275,NA,NA,NA
NA,NA,2013,0264-3294,35,Informa UK Limited,Cognitive Neuropsychology
http://www.elsevier.com/tdm/userlicense/1.0/,88,2013,0264-3707,112,Elsevier BV,Journal of Geodynamics
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0264-3707,112,Elsevier BV,Journal of Geodynamics
http://doi.wiley.com/10.1002/tdm_license_1.1,44,2013,0264-3758,44,Wiley-Blackwell,Journal of Applied Philosophy
http://www.elsevier.com/tdm/userlicense/1.0/,1085,2013,0264-410X,1120,Elsevier BV,Vaccine
http://creativecommons.org/licenses/by-nc-nd/3.0/,50,2013,0264-410X,1120,Elsevier BV,Vaccine
http://creativecommons.org/licenses/by/3.0/,31,2013,0264-410X,1120,Elsevier BV,Vaccine
http://www.elsevier.com/open-access/userlicense/1.0/,11,2013,0264-410X,1120,Elsevier BV,Vaccine
http://creativecommons.org/licenses/by-nc-sa/3.0/,6,2013,0264-410X,1120,Elsevier BV,Vaccine
http://creativecommons.org/licenses/by-nc-nd/4.0/,5,2013,0264-410X,1120,Elsevier BV,Vaccine
NA,NA,2013,0264-6021,435,Portland Press Ltd.,Biochemical Journal
http://www.elsevier.com/tdm/userlicense/1.0/,113,2013,0264-8172,210,Elsevier BV,Marine and Petroleum Geology
http://creativecommons.org/licenses/by-nc-nd/3.0/,2,2013,0264-8172,210,Elsevier BV,Marine and Petroleum Geology
http://www.elsevier.com/tdm/userlicense/1.0/,266,2013,0264-8377,307,Elsevier BV,Land Use Policy
http://iopscience.iop.org/info/page/text-and-data-mining,470,2013,0264-9381,472,IOP Publishing,Classical and Quantum Gravity
http://iopscience.iop.org/page/copyright,465,2013,0264-9381,472,IOP Publishing,Classical and Quantum Gravity
http://creativecommons.org/licenses/by/3.0/,4,2013,0264-9381,472,IOP Publishing,Classical and Quantum Gravity
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0264-9381,472,IOP Publishing,Classical and Quantum Gravity
NA,NA,2013,0265-0568,102,Royal Society of Chemistry (RSC),Natural Product Reports
http://doi.wiley.com/10.1002/tdm_license_1.1,16,2013,0265-8240,16,Wiley-Blackwell,Law & Policy
http://doi.wiley.com/10.1002/tdm_license_1.1,213,2013,0265-9247,213,Wiley-Blackwell,BioEssays
http://www.elsevier.com/tdm/userlicense/1.0/,204,2013,0265-931X,249,Elsevier BV,Journal of Environmental Radioactivity
http://creativecommons.org/licenses/by/3.0/,1,2013,0265-931X,249,Elsevier BV,Journal of Environmental Radioactivity
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0265-931X,249,Elsevier BV,Journal of Environmental Radioactivity
http://www.elsevier.com/tdm/userlicense/1.0/,94,2013,0266-352X,150,Elsevier BV,Computers and Geotechnics
http://creativecommons.org/licenses/by/3.0/,1,2013,0266-352X,150,Elsevier BV,Computers and Geotechnics
http://creativecommons.org/licenses/by-nc-nd/3.0/,1,2013,0266-352X,150,Elsevier BV,Computers and Geotechnics
http://www.elsevier.com/tdm/userlicense/1.0/,237,2013,0266-3538,327,Elsevier BV,Composites Science and Technology
http://creativecommons.org/licenses/by-nc-nd/3.0/,3,2013,0266-3538,327,Elsevier BV,Composites Science and Technology
http://creativecommons.org/licenses/by-nc-sa/3.0/,1,2013,0266-3538,327,Elsevier BV,Composites Science and Technology
http://creativecommons.org/licenses/by-nc-nd/4.0/,1,2013,0266-3538,327,Elsevier BV,Composites Science and Technology
NA,NA,2013,0266-4666,57,Cambridge University Press (CUP),Econometric Theory
NA,NA,2013,0266-4763,315,Informa UK Limited,Journal of Applied Statistics
