journal_title,publisher,year,yearly_jn_volume,license,license_ref_n,yearly_publisher_volume
Distributed Computing,Springer Nature,2014,34,NA,NA,161462
Distributed Computing,Springer Nature,2016,31,http://creativecommons.org/licenses/by/4.0,2,173019
Distributed Computing,Springer Nature,2017,30,http://creativecommons.org/licenses/by/4.0,6,175964
Distributed Computing,Springer Nature,2015,22,http://creativecommons.org/licenses/by/4.0,1,165397
Distributed Computing,Springer Nature,2013,21,NA,NA,150563
Distributed Computing,Springer Nature,2018,11,http://creativecommons.org/licenses/by/4.0,2,77031
Journal of Cryptographic Engineering,Springer Nature,2017,31,http://creativecommons.org/licenses/by/4.0,1,175964
Journal of Cryptographic Engineering,Springer Nature,2016,29,http://creativecommons.org/licenses/by/4.0,2,173019
Journal of Cryptographic Engineering,Springer Nature,2014,27,NA,NA,161462
Journal of Cryptographic Engineering,Springer Nature,2015,23,NA,NA,165397
Journal of Cryptographic Engineering,Springer Nature,2013,16,NA,NA,150563
Journal of Cryptographic Engineering,Springer Nature,2018,13,http://creativecommons.org/licenses/by/4.0,3,77031
Positivity,Springer Nature,2017,86,http://creativecommons.org/licenses/by/4.0,9,175964
Positivity,Springer Nature,2015,73,http://creativecommons.org/licenses/by/4.0,4,165397
Positivity,Springer Nature,2016,69,http://creativecommons.org/licenses/by/4.0,4,173019
Positivity,Springer Nature,2013,51,NA,NA,150563
Positivity,Springer Nature,2014,50,NA,NA,161462
Positivity,Springer Nature,2018,36,http://creativecommons.org/licenses/by/4.0,6,77031
Aquatic Sciences,Springer Nature,2015,73,http://creativecommons.org/licenses/by/4.0,1,165397
Aquatic Sciences,Springer Nature,2014,55,NA,NA,161462
Aquatic Sciences,Springer Nature,2016,52,http://creativecommons.org/licenses/by/4.0,5,173019
Aquatic Sciences,Springer Nature,2013,49,NA,NA,150563
Aquatic Sciences,Springer Nature,2017,44,http://creativecommons.org/licenses/by/4.0,3,175964
Aquatic Sciences,Springer Nature,2018,20,http://creativecommons.org/licenses/by/4.0,3,77031
European Journal of Clinical Pharmacology,Springer Nature,2017,219,http://creativecommons.org/licenses/by/4.0,46,175964
European Journal of Clinical Pharmacology,Springer Nature,2015,206,NA,NA,165397
European Journal of Clinical Pharmacology,Springer Nature,2016,185,http://creativecommons.org/licenses/by/4.0,23,173019
European Journal of Clinical Pharmacology,Springer Nature,2014,167,NA,NA,161462
European Journal of Clinical Pharmacology,Springer Nature,2013,167,NA,NA,150563
European Journal of Clinical Pharmacology,Springer Nature,2018,82,http://creativecommons.org/licenses/by/4.0,12,77031
Environmental and Resource Economics,Springer Nature,2013,125,NA,NA,150563
Environmental and Resource Economics,Springer Nature,2015,124,http://creativecommons.org/licenses/by/4.0,6,165397
Environmental and Resource Economics,Springer Nature,2014,114,NA,NA,161462
Environmental and Resource Economics,Springer Nature,2016,111,http://creativecommons.org/licenses/by/4.0,18,173019
Environmental and Resource Economics,Springer Nature,2017,104,http://creativecommons.org/licenses/by/4.0,13,175964
Environmental and Resource Economics,Springer Nature,2018,49,http://creativecommons.org/licenses/by/4.0,11,77031
Drug Delivery and Translational Research,Springer Nature,2017,118,http://creativecommons.org/licenses/by/4.0,8,175964
Drug Delivery and Translational Research,Springer Nature,2016,78,http://creativecommons.org/licenses/by/4.0,6,173019
Drug Delivery and Translational Research,Springer Nature,2018,70,http://creativecommons.org/licenses/by/4.0,8,77031
Drug Delivery and Translational Research,Springer Nature,2013,66,NA,NA,150563
Drug Delivery and Translational Research,Springer Nature,2015,60,NA,NA,165397
Drug Delivery and Translational Research,Springer Nature,2014,25,NA,NA,161462
Clinical Autonomic Research,Springer Nature,2017,98,http://creativecommons.org/licenses/by/4.0,15,175964
Clinical Autonomic Research,Springer Nature,2015,68,NA,NA,165397
Clinical Autonomic Research,Springer Nature,2016,59,http://creativecommons.org/licenses/by/4.0,3,173019
Clinical Autonomic Research,Springer Nature,2014,42,NA,NA,161462
Clinical Autonomic Research,Springer Nature,2018,40,http://creativecommons.org/licenses/by/4.0,3,77031
Clinical Autonomic Research,Springer Nature,2013,36,NA,NA,150563
Child Indicators Research,Springer Nature,2016,82,http://creativecommons.org/licenses/by/4.0,5,173019
Child Indicators Research,Springer Nature,2017,75,http://creativecommons.org/licenses/by/4.0,11,175964
Child Indicators Research,Springer Nature,2015,66,http://creativecommons.org/licenses/by/4.0,3,165397
Child Indicators Research,Springer Nature,2014,64,NA,NA,161462
Child Indicators Research,Springer Nature,2013,50,NA,NA,150563
Child Indicators Research,Springer Nature,2018,48,http://creativecommons.org/licenses/by/4.0,8,77031
Theoretical and Applied Climatology,Springer Nature,2015,360,http://creativecommons.org/licenses/by/4.0,23,165397
Theoretical and Applied Climatology,Springer Nature,2017,333,http://creativecommons.org/licenses/by/4.0,23,175964
Theoretical and Applied Climatology,Springer Nature,2016,312,http://creativecommons.org/licenses/by/4.0,24,173019
Theoretical and Applied Climatology,Springer Nature,2014,278,NA,NA,161462
Theoretical and Applied Climatology,Springer Nature,2013,244,NA,NA,150563
Theoretical and Applied Climatology,Springer Nature,2018,156,http://creativecommons.org/licenses/by/4.0,13,77031
AIDS and Behavior,Springer Nature,2016,389,http://creativecommons.org/licenses/by/4.0,30,173019
AIDS and Behavior,Springer Nature,2017,348,http://creativecommons.org/licenses/by/4.0,31,175964
AIDS and Behavior,Springer Nature,2015,294,http://creativecommons.org/licenses/by/4.0,4,165397
AIDS and Behavior,Springer Nature,2013,291,NA,NA,150563
AIDS and Behavior,Springer Nature,2014,290,NA,NA,161462
AIDS and Behavior,Springer Nature,2018,145,http://creativecommons.org/licenses/by/4.0,11,77031
Sexuality and Disability,Springer Nature,2014,55,NA,NA,161462
Sexuality and Disability,Springer Nature,2013,49,NA,NA,150563
Sexuality and Disability,Springer Nature,2016,48,http://creativecommons.org/licenses/by/4.0,2,173019
Sexuality and Disability,Springer Nature,2017,43,http://creativecommons.org/licenses/by/4.0,2,175964
Sexuality and Disability,Springer Nature,2015,33,NA,NA,165397
Sexuality and Disability,Springer Nature,2018,12,http://creativecommons.org/licenses/by/4.0,1,77031
Autonomous Robots,Springer Nature,2015,118,http://creativecommons.org/licenses/by/4.0,1,165397
Autonomous Robots,Springer Nature,2017,79,http://creativecommons.org/licenses/by/4.0,4,175964
Autonomous Robots,Springer Nature,2016,76,http://creativecommons.org/licenses/by/4.0,6,173019
Autonomous Robots,Springer Nature,2018,71,http://creativecommons.org/licenses/by/4.0,12,77031
Autonomous Robots,Springer Nature,2013,67,NA,NA,150563
Autonomous Robots,Springer Nature,2014,39,NA,NA,161462
Zeitschrift für Außen- und Sicherheitspolitik,Springer Nature,2015,98,NA,NA,165397
Zeitschrift für Außen- und Sicherheitspolitik,Springer Nature,2013,86,NA,NA,150563
Zeitschrift für Außen- und Sicherheitspolitik,Springer Nature,2017,80,http://creativecommons.org/licenses/by/4.0,2,175964
Zeitschrift für Außen- und Sicherheitspolitik,Springer Nature,2014,56,NA,NA,161462
Zeitschrift für Außen- und Sicherheitspolitik,Springer Nature,2016,55,NA,NA,173019
Zeitschrift für Außen- und Sicherheitspolitik,Springer Nature,2018,22,NA,NA,77031
Conservation Genetics,Springer Nature,2014,132,NA,NA,161462
Conservation Genetics,Springer Nature,2017,120,http://creativecommons.org/licenses/by/4.0,11,175964
Conservation Genetics,Springer Nature,2013,116,NA,NA,150563
Conservation Genetics,Springer Nature,2016,114,http://creativecommons.org/licenses/by/4.0,12,173019
Conservation Genetics,Springer Nature,2015,114,NA,NA,165397
Conservation Genetics,Springer Nature,2018,32,http://creativecommons.org/licenses/by/4.0,3,77031
Food Security,Springer Nature,2015,121,NA,NA,165397
Food Security,Springer Nature,2017,108,http://creativecommons.org/licenses/by/4.0,18,175964
Food Security,Springer Nature,2016,100,http://creativecommons.org/licenses/by/4.0,6,173019
Food Security,Springer Nature,2014,95,NA,NA,161462
Food Security,Springer Nature,2013,82,NA,NA,150563
Food Security,Springer Nature,2018,60,http://creativecommons.org/licenses/by/4.0,13,77031
International Journal of Public Health,Springer Nature,2016,157,http://creativecommons.org/licenses/by/4.0,21,173019
International Journal of Public Health,Springer Nature,2017,132,http://creativecommons.org/licenses/by-nc/4.0,1,175964
International Journal of Public Health,Springer Nature,2017,132,http://creativecommons.org/licenses/by/3.0,1,175964
International Journal of Public Health,Springer Nature,2017,132,http://creativecommons.org/licenses/by/4.0,40,175964
International Journal of Public Health,Springer Nature,2015,130,http://creativecommons.org/licenses/by/4.0,2,165397
International Journal of Public Health,Springer Nature,2014,102,NA,NA,161462
International Journal of Public Health,Springer Nature,2013,95,NA,NA,150563
International Journal of Public Health,Springer Nature,2018,43,http://creativecommons.org/licenses/by/4.0,10,77031
Journal of Materials Science: Materials in Electronics,Springer Nature,2017,2207,http://creativecommons.org/licenses/by/4.0,28,175964
Journal of Materials Science: Materials in Electronics,Springer Nature,2016,1979,http://creativecommons.org/licenses/by/4.0,20,173019
Journal of Materials Science: Materials in Electronics,Springer Nature,2015,1592,NA,NA,165397
Journal of Materials Science: Materials in Electronics,Springer Nature,2014,927,NA,NA,161462
Journal of Materials Science: Materials in Electronics,Springer Nature,2018,878,http://creativecommons.org/licenses/by/4.0,9,77031
Journal of Materials Science: Materials in Electronics,Springer Nature,2013,640,NA,NA,150563
Cognitive Processing,Springer Nature,2015,101,NA,NA,165397
Cognitive Processing,Springer Nature,2017,63,http://creativecommons.org/licenses/by/4.0,7,175964
Cognitive Processing,Springer Nature,2013,61,NA,NA,150563
Cognitive Processing,Springer Nature,2014,50,NA,NA,161462
Cognitive Processing,Springer Nature,2016,41,http://creativecommons.org/licenses/by/4.0,5,173019
Cognitive Processing,Springer Nature,2018,18,http://creativecommons.org/licenses/by/4.0,2,77031
Journal of Thermal Analysis and Calorimetry,Springer Nature,2017,868,http://creativecommons.org/licenses/by/4.0,64,175964
Journal of Thermal Analysis and Calorimetry,Springer Nature,2016,857,http://creativecommons.org/licenses/by/4.0,103,173019
Journal of Thermal Analysis and Calorimetry,Springer Nature,2015,850,http://creativecommons.org/licenses/by/4.0,1,165397
Journal of Thermal Analysis and Calorimetry,Springer Nature,2014,756,NA,NA,161462
Journal of Thermal Analysis and Calorimetry,Springer Nature,2013,711,NA,NA,150563
Journal of Thermal Analysis and Calorimetry,Springer Nature,2018,453,http://creativecommons.org/licenses/by/4.0,36,77031
Inflammopharmacology,Springer Nature,2017,129,http://creativecommons.org/licenses/by/4.0,9,175964
Inflammopharmacology,Springer Nature,2018,62,http://creativecommons.org/licenses/by/4.0,3,77031
Inflammopharmacology,Springer Nature,2016,47,http://creativecommons.org/licenses/by/4.0,3,173019
Inflammopharmacology,Springer Nature,2013,33,NA,NA,150563
Inflammopharmacology,Springer Nature,2015,30,NA,NA,165397
Inflammopharmacology,Springer Nature,2014,26,NA,NA,161462
Journal of Intelligent Information Systems,Springer Nature,2013,65,NA,NA,150563
Journal of Intelligent Information Systems,Springer Nature,2017,54,http://creativecommons.org/licenses/by/4.0,13,175964
Journal of Intelligent Information Systems,Springer Nature,2014,52,NA,NA,161462
Journal of Intelligent Information Systems,Springer Nature,2016,46,http://creativecommons.org/licenses/by/4.0,6,173019
Journal of Intelligent Information Systems,Springer Nature,2015,39,http://creativecommons.org/licenses/by/4.0,3,165397
Journal of Intelligent Information Systems,Springer Nature,2018,18,http://creativecommons.org/licenses/by/4.0,2,77031
Information Systems Frontiers,Springer Nature,2016,111,http://creativecommons.org/licenses/by/4.0,5,173019
Information Systems Frontiers,Springer Nature,2017,88,http://creativecommons.org/licenses/by/4.0,8,175964
Information Systems Frontiers,Springer Nature,2015,76,http://creativecommons.org/licenses/by/4.0,3,165397
Information Systems Frontiers,Springer Nature,2013,75,NA,NA,150563
Information Systems Frontiers,Springer Nature,2014,62,NA,NA,161462
Information Systems Frontiers,Springer Nature,2018,40,http://creativecommons.org/licenses/by/4.0,5,77031
Applied Spatial Analysis and Policy,Springer Nature,2015,44,http://creativecommons.org/licenses/by/4.0,4,165397
Applied Spatial Analysis and Policy,Springer Nature,2016,39,http://creativecommons.org/licenses/by/4.0,5,173019
Applied Spatial Analysis and Policy,Springer Nature,2014,34,http://creativecommons.org/licenses/by/4.0,2,161462
Applied Spatial Analysis and Policy,Springer Nature,2017,30,http://creativecommons.org/licenses/by/4.0,5,175964
Applied Spatial Analysis and Policy,Springer Nature,2013,13,NA,NA,150563
Applied Spatial Analysis and Policy,Springer Nature,2018,10,http://creativecommons.org/licenses/by/4.0,5,77031
The European Physical Journal A,Springer Nature,2016,375,http://creativecommons.org/licenses/by/4.0,33,173019
The European Physical Journal A,Springer Nature,2017,246,http://creativecommons.org/licenses/by/4.0,28,175964
The European Physical Journal A,Springer Nature,2014,190,NA,NA,161462
The European Physical Journal A,Springer Nature,2015,187,NA,NA,165397
The European Physical Journal A,Springer Nature,2013,160,NA,NA,150563
The European Physical Journal A,Springer Nature,2018,86,http://creativecommons.org/licenses/by/4.0,7,77031
Biological Invasions,Springer Nature,2016,316,http://creativecommons.org/licenses/by/4.0,14,173019
Biological Invasions,Springer Nature,2017,304,http://creativecommons.org/licenses/by/4.0,30,175964
Biological Invasions,Springer Nature,2013,239,NA,NA,150563
Biological Invasions,Springer Nature,2014,205,NA,NA,161462
Biological Invasions,Springer Nature,2015,201,NA,NA,165397
Biological Invasions,Springer Nature,2018,106,http://creativecommons.org/licenses/by/4.0,13,77031
Biological Cybernetics,Springer Nature,2014,61,NA,NA,161462
Biological Cybernetics,Springer Nature,2013,39,NA,NA,150563
Biological Cybernetics,Springer Nature,2015,35,NA,NA,165397
Biological Cybernetics,Springer Nature,2017,34,http://creativecommons.org/licenses/by/4.0,9,175964
Biological Cybernetics,Springer Nature,2016,31,http://creativecommons.org/licenses/by/4.0,7,173019
Biological Cybernetics,Springer Nature,2018,17,http://creativecommons.org/licenses/by/4.0,4,77031
Journal of World Prehistory,Springer Nature,2017,13,http://creativecommons.org/licenses/by/4.0,9,175964
Journal of World Prehistory,Springer Nature,2014,11,NA,NA,161462
Journal of World Prehistory,Springer Nature,2016,9,http://creativecommons.org/licenses/by/4.0,2,173019
Journal of World Prehistory,Springer Nature,2015,8,NA,NA,165397
Journal of World Prehistory,Springer Nature,2013,8,NA,NA,150563
Journal of World Prehistory,Springer Nature,2018,2,http://creativecommons.org/licenses/by/4.0,1,77031
Acta Neurochirurgica,Springer Nature,2017,385,http://creativecommons.org/licenses/by/4.0,42,175964
Acta Neurochirurgica,Springer Nature,2016,379,http://creativecommons.org/licenses/by/4.0,16,173019
Acta Neurochirurgica,Springer Nature,2013,379,NA,NA,150563
Acta Neurochirurgica,Springer Nature,2015,355,NA,NA,165397
Acta Neurochirurgica,Springer Nature,2014,337,NA,NA,161462
Acta Neurochirurgica,Springer Nature,2018,127,http://creativecommons.org/licenses/by/4.0,10,77031
Reading and Writing,Springer Nature,2017,102,http://creativecommons.org/licenses/by/4.0,13,175964
Reading and Writing,Springer Nature,2016,102,http://creativecommons.org/licenses/by/4.0,7,173019
Reading and Writing,Springer Nature,2013,73,NA,NA,150563
Reading and Writing,Springer Nature,2015,71,NA,NA,165397
Reading and Writing,Springer Nature,2018,49,http://creativecommons.org/licenses/by/4.0,6,77031
Reading and Writing,Springer Nature,2014,44,NA,NA,161462
Experimental Astronomy,Springer Nature,2015,60,NA,NA,165397
Experimental Astronomy,Springer Nature,2014,60,NA,NA,161462
Experimental Astronomy,Springer Nature,2017,45,http://creativecommons.org/licenses/by/4.0,1,175964
Experimental Astronomy,Springer Nature,2013,43,NA,NA,150563
Experimental Astronomy,Springer Nature,2016,29,http://creativecommons.org/licenses/by/4.0,1,173019
Experimental Astronomy,Springer Nature,2018,24,http://creativecommons.org/licenses/by/4.0,3,77031
Translational Behavioral Medicine,Oxford University Press (OUP),2018,127,http://creativecommons.org/licenses/by/4.0,2,20883
Translational Behavioral Medicine,Oxford University Press (OUP),2016,80,http://creativecommons.org/licenses/by/4.0,5,41935
Translational Behavioral Medicine,Oxford University Press (OUP),2017,71,http://creativecommons.org/licenses/by/4.0,4,47306
Translational Behavioral Medicine,Oxford University Press (OUP),2015,69,http://creativecommons.org/licenses/by/4.0,2,38466
Translational Behavioral Medicine,Oxford University Press (OUP),2013,62,NA,NA,34651
Translational Behavioral Medicine,Oxford University Press (OUP),2014,56,NA,NA,35861
Sustainability Science,Springer Nature,2017,102,http://creativecommons.org/licenses/by/4.0,28,175964
Sustainability Science,Springer Nature,2016,67,http://creativecommons.org/licenses/by/4.0,17,173019
Sustainability Science,Springer Nature,2015,64,http://creativecommons.org/licenses/by/4.0,2,165397
Sustainability Science,Springer Nature,2018,59,http://creativecommons.org/licenses/by/4.0,19,77031
Sustainability Science,Springer Nature,2014,47,NA,NA,161462
Sustainability Science,Springer Nature,2013,42,NA,NA,150563
EcoHealth,Springer Nature,2016,111,http://creativecommons.org/licenses/by/4.0,12,173019
EcoHealth,Springer Nature,2014,104,NA,NA,161462
EcoHealth,Springer Nature,2017,101,http://creativecommons.org/licenses/by/4.0,12,175964
EcoHealth,Springer Nature,2015,84,http://creativecommons.org/licenses/by/4.0,1,165397
EcoHealth,Springer Nature,2013,83,NA,NA,150563
EcoHealth,Springer Nature,2018,35,http://creativecommons.org/licenses/by/4.0,7,77031
Neuroinformatics,Springer Nature,2014,40,NA,NA,161462
Neuroinformatics,Springer Nature,2013,40,NA,NA,150563
Neuroinformatics,Springer Nature,2015,35,http://creativecommons.org/licenses/by/4.0,1,165397
Neuroinformatics,Springer Nature,2018,31,http://creativecommons.org/licenses/by/4.0,4,77031
Neuroinformatics,Springer Nature,2017,30,http://creativecommons.org/licenses/by/4.0,7,175964
Neuroinformatics,Springer Nature,2016,30,http://creativecommons.org/licenses/by/4.0,6,173019
Health Care Analysis,Springer Nature,2013,35,NA,NA,150563
Health Care Analysis,Springer Nature,2016,27,http://creativecommons.org/licenses/by/4.0,9,173019
Health Care Analysis,Springer Nature,2015,20,http://creativecommons.org/licenses/by/4.0,4,165397
Health Care Analysis,Springer Nature,2014,19,NA,NA,161462
Health Care Analysis,Springer Nature,2017,17,http://creativecommons.org/licenses/by/4.0,12,175964
Health Care Analysis,Springer Nature,2018,3,http://creativecommons.org/licenses/by/4.0,2,77031
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,2015,90,http://creativecommons.org/licenses/by/4.0,3,165397
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,2014,86,NA,NA,161462
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,2013,70,NA,NA,150563
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,2016,66,http://creativecommons.org/licenses/by/4.0,3,173019
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,2017,62,http://creativecommons.org/licenses/by/4.0,7,175964
Administration and Policy in Mental Health and Mental Health Services Research,Springer Nature,2018,41,http://creativecommons.org/licenses/by/4.0,5,77031
Journal of Molecular Modeling,Springer Nature,2014,472,NA,NA,161462
Journal of Molecular Modeling,Springer Nature,2017,379,http://creativecommons.org/licenses/by/4.0,26,175964
Journal of Molecular Modeling,Springer Nature,2015,341,NA,NA,165397
Journal of Molecular Modeling,Springer Nature,2013,336,NA,NA,150563
Journal of Molecular Modeling,Springer Nature,2016,300,http://creativecommons.org/licenses/by/4.0,17,173019
Journal of Molecular Modeling,Springer Nature,2018,104,http://creativecommons.org/licenses/by/4.0,5,77031
Annales mathématiques du Québec,Springer Nature,2016,36,http://creativecommons.org/licenses/by/4.0,4,173019
Annales mathématiques du Québec,Springer Nature,2017,19,NA,NA,175964
Annales mathématiques du Québec,Springer Nature,2014,15,NA,NA,161462
Annales mathématiques du Québec,Springer Nature,2015,14,NA,NA,165397
Annales mathématiques du Québec,Springer Nature,2013,10,NA,NA,150563
Annales mathématiques du Québec,Springer Nature,2018,6,http://creativecommons.org/licenses/by/4.0,1,77031
Journal of Bioenergetics and Biomembranes,Springer Nature,2014,60,NA,NA,161462
Journal of Bioenergetics and Biomembranes,Springer Nature,2016,55,http://creativecommons.org/licenses/by/4.0,1,173019
Journal of Bioenergetics and Biomembranes,Springer Nature,2017,41,NA,NA,175964
Journal of Bioenergetics and Biomembranes,Springer Nature,2015,39,NA,NA,165397
Journal of Bioenergetics and Biomembranes,Springer Nature,2013,39,NA,NA,150563
Journal of Bioenergetics and Biomembranes,Springer Nature,2018,22,http://creativecommons.org/licenses/by/4.0,1,77031
Environmental Processes,Springer Nature,2016,83,http://creativecommons.org/licenses/by/4.0,2,173019
Environmental Processes,Springer Nature,2017,72,http://creativecommons.org/licenses/by/4.0,2,175964
Environmental Processes,Springer Nature,2015,64,NA,NA,165397
Environmental Processes,Springer Nature,2014,49,NA,NA,161462
Environmental Processes,Springer Nature,2018,29,NA,NA,77031
Photosynthesis Research,Springer Nature,2013,169,NA,NA,150563
Photosynthesis Research,Springer Nature,2015,144,NA,NA,165397
Photosynthesis Research,Springer Nature,2017,142,http://creativecommons.org/licenses/by/4.0,28,175964
Photosynthesis Research,Springer Nature,2016,112,http://creativecommons.org/licenses/by/4.0,11,173019
Photosynthesis Research,Springer Nature,2014,107,NA,NA,161462
Photosynthesis Research,Springer Nature,2018,49,http://creativecommons.org/licenses/by/4.0,4,77031
Early Childhood Education Journal,Springer Nature,2015,80,http://creativecommons.org/licenses/by/4.0,2,165397
Early Childhood Education Journal,Springer Nature,2016,69,http://creativecommons.org/licenses/by/4.0,2,173019
Early Childhood Education Journal,Springer Nature,2013,57,NA,NA,150563
Early Childhood Education Journal,Springer Nature,2017,55,http://creativecommons.org/licenses/by/4.0,1,175964
Early Childhood Education Journal,Springer Nature,2014,55,NA,NA,161462
Early Childhood Education Journal,Springer Nature,2018,13,NA,NA,77031
Applied Physics A,Springer Nature,2016,1145,http://creativecommons.org/licenses/by/4.0,16,173019
Applied Physics A,Springer Nature,2017,772,http://creativecommons.org/licenses/by/4.0,21,175964
Applied Physics A,Springer Nature,2014,741,NA,NA,161462
Applied Physics A,Springer Nature,2013,698,NA,NA,150563
Applied Physics A,Springer Nature,2015,594,NA,NA,165397
Applied Physics A,Springer Nature,2018,381,http://creativecommons.org/licenses/by/4.0,16,77031
Rheumatology International,Springer Nature,2013,297,NA,NA,150563
Rheumatology International,Springer Nature,2017,276,http://creativecommons.org/licenses/by/4.0,23,175964
Rheumatology International,Springer Nature,2014,273,NA,NA,161462
Rheumatology International,Springer Nature,2016,226,http://creativecommons.org/licenses/by/4.0,20,173019
Rheumatology International,Springer Nature,2015,209,NA,NA,165397
Rheumatology International,Springer Nature,2018,138,http://creativecommons.org/licenses/by/4.0,62,77031
Journal of Neural Transmission,Springer Nature,2014,211,NA,NA,161462
Journal of Neural Transmission,Springer Nature,2013,184,NA,NA,150563
Journal of Neural Transmission,Springer Nature,2016,171,http://creativecommons.org/licenses/by/4.0,16,173019
Journal of Neural Transmission,Springer Nature,2017,163,http://creativecommons.org/licenses/by/4.0,22,175964
Journal of Neural Transmission,Springer Nature,2015,139,http://creativecommons.org/licenses/by/4.0,5,165397
Journal of Neural Transmission,Springer Nature,2018,56,http://creativecommons.org/licenses/by/4.0,7,77031
Journal of Mathematics Teacher Education,Springer Nature,2015,44,http://creativecommons.org/licenses/by/4.0,1,165397
Journal of Mathematics Teacher Education,Springer Nature,2017,34,http://creativecommons.org/licenses/by/4.0,1,175964
Journal of Mathematics Teacher Education,Springer Nature,2013,33,NA,NA,150563
Journal of Mathematics Teacher Education,Springer Nature,2014,30,NA,NA,161462
Journal of Mathematics Teacher Education,Springer Nature,2016,21,NA,NA,173019
Journal of Mathematics Teacher Education,Springer Nature,2018,11,http://creativecommons.org/licenses/by/4.0,1,77031
Clinical Rheumatology,Springer Nature,2017,424,http://creativecommons.org/licenses/by/4.0,40,175964
Clinical Rheumatology,Springer Nature,2014,380,http://creativecommons.org/licenses/by/4.0,1,161462
Clinical Rheumatology,Springer Nature,2016,368,http://creativecommons.org/licenses/by/4.0,28,173019
Clinical Rheumatology,Springer Nature,2013,314,NA,NA,150563
Clinical Rheumatology,Springer Nature,2015,306,http://creativecommons.org/licenses/by/4.0,7,165397
Clinical Rheumatology,Springer Nature,2018,198,http://creativecommons.org/licenses/by/4.0,12,77031
Natural Hazards,Springer Nature,2016,600,http://creativecommons.org/licenses/by/4.0,40,173019
Natural Hazards,Springer Nature,2015,568,http://creativecommons.org/licenses/by/4.0,1,165397
Natural Hazards,Springer Nature,2014,545,NA,NA,161462
Natural Hazards,Springer Nature,2013,478,NA,NA,150563
Natural Hazards,Springer Nature,2017,413,http://creativecommons.org/licenses/by/4.0,26,175964
Natural Hazards,Springer Nature,2018,203,http://creativecommons.org/licenses/by/4.0,10,77031
International Journal of Artificial Intelligence in Education,Springer Nature,2015,49,NA,NA,165397
International Journal of Artificial Intelligence in Education,Springer Nature,2016,45,http://creativecommons.org/licenses/by/4.0,2,173019
International Journal of Artificial Intelligence in Education,Springer Nature,2017,27,http://creativecommons.org/licenses/by/4.0,7,175964
International Journal of Artificial Intelligence in Education,Springer Nature,2014,22,NA,NA,161462
International Journal of Artificial Intelligence in Education,Springer Nature,2013,12,NA,NA,150563
International Journal of Artificial Intelligence in Education,Springer Nature,2018,7,http://creativecommons.org/licenses/by/4.0,2,77031
Applied Microbiology and Biotechnology,Springer Nature,2015,914,http://creativecommons.org/licenses/by/4.0,8,165397
Applied Microbiology and Biotechnology,Springer Nature,2014,868,http://creativecommons.org/licenses/by/4.0,1,161462
Applied Microbiology and Biotechnology,Springer Nature,2016,824,http://creativecommons.org/licenses/by/4.0,56,173019
Applied Microbiology and Biotechnology,Springer Nature,2013,807,NA,NA,150563
Applied Microbiology and Biotechnology,Springer Nature,2017,643,http://creativecommons.org/licenses/by/4.0,55,175964
Applied Microbiology and Biotechnology,Springer Nature,2018,376,http://creativecommons.org/licenses/by/4.0,37,77031
Virchows Archiv,Springer Nature,2017,225,http://creativecommons.org/licenses/by/4.0,13,175964
Virchows Archiv,Springer Nature,2014,185,NA,NA,161462
Virchows Archiv,Springer Nature,2015,183,NA,NA,165397
Virchows Archiv,Springer Nature,2013,161,NA,NA,150563
Virchows Archiv,Springer Nature,2016,159,http://creativecommons.org/licenses/by/4.0,12,173019
Virchows Archiv,Springer Nature,2018,94,http://creativecommons.org/licenses/by/4.0,10,77031
Abdominal Radiology,Springer Nature,2016,431,http://creativecommons.org/licenses/by/4.0,14,173019
Abdominal Radiology,Springer Nature,2017,421,http://creativecommons.org/licenses/by/4.0,9,175964
Abdominal Radiology,Springer Nature,2018,200,http://creativecommons.org/licenses/by/4.0,5,77031
Abdominal Radiology,Springer Nature,2015,32,NA,NA,165397
Current Stem Cell Reports,Springer Nature,2016,42,http://creativecommons.org/licenses/by/4.0,5,173019
Current Stem Cell Reports,Springer Nature,2017,40,http://creativecommons.org/licenses/by/4.0,11,175964
Current Stem Cell Reports,Springer Nature,2015,27,NA,NA,165397
Current Stem Cell Reports,Springer Nature,2018,21,http://creativecommons.org/licenses/by/4.0,5,77031
Bulletin of Volcanology,Springer Nature,2013,113,NA,NA,150563
Bulletin of Volcanology,Springer Nature,2015,112,NA,NA,165397
Bulletin of Volcanology,Springer Nature,2017,96,http://creativecommons.org/licenses/by/4.0,9,175964
Bulletin of Volcanology,Springer Nature,2014,96,NA,NA,161462
Bulletin of Volcanology,Springer Nature,2016,92,http://creativecommons.org/licenses/by/4.0,10,173019
Bulletin of Volcanology,Springer Nature,2018,42,http://creativecommons.org/licenses/by/4.0,8,77031
Journal of Geographical Systems,Springer Nature,2016,21,http://creativecommons.org/licenses/by/4.0,3,173019
Journal of Geographical Systems,Springer Nature,2017,18,http://creativecommons.org/licenses/by/4.0,1,175964
Journal of Geographical Systems,Springer Nature,2013,18,NA,NA,150563
Journal of Geographical Systems,Springer Nature,2015,17,NA,NA,165397
Journal of Geographical Systems,Springer Nature,2014,10,NA,NA,161462
